cibil_score,income,dependents,loan_amount,tenure,down_payment,existing_emi,credit_card,employment_type,statement_score,emi,account_age,overdrafts,bounced_payments,late_emi_ratio,income_volatility,avg_balance,transaction_frequency,monthly_spending,approved
338,192089,0,333615,51,201731,15677,1,1,0.0,6541.470588235294,15,5,2,0.00044333186632314895,0.08979035022694515,35995,198,120331,0
815,164438,3,636368,34,273276,24924,0,1,63.72999339638253,18716.70588235294,8,2,0,0.43463125867998287,0.6054892285180937,132429,128,140195,1
797,47796,1,775028,46,108799,28445,1,1,49.14190163351278,16848.434782608696,52,0,1,0.5026286927338773,0.7508036005675395,40085,56,128501,0
466,70884,2,981294,44,186598,34900,0,1,0.0,22302.136363636364,117,4,0,0.6954906825666382,0.19719451324438886,19937,44,61349,0
679,55580,1,283002,58,5908,32648,1,0,23.333273598502316,4879.3448275862065,70,2,2,0.4324505907762108,0.43491164797357673,40839,37,101649,0
399,91129,2,746924,31,265515,20746,0,1,0.0,24094.322580645163,71,5,2,0.07530350572218528,0.5424862882439079,116666,97,90922,0
755,72439,2,130536,59,17748,12132,1,0,0.0,2212.4745762711864,74,5,3,0.7414508474450223,0.4131527185958397,141563,18,64995,0
721,79051,2,566260,34,162337,10450,1,0,39.83101228731402,16654.70588235294,104,0,1,0.45228383274037864,0.8760048029512743,92567,30,97729,0
513,115290,4,443110,55,105539,39714,1,0,23.805107623849963,8056.545454545455,101,5,0,0.2172249535777432,0.16890320542356285,38321,152,140455,0
340,54029,3,960623,46,10736,24332,0,1,0.0,20883.108695652172,5,5,0,0.7190868931907951,0.7715555525568549,90927,100,8772,0
883,178909,2,784711,13,138632,36345,0,0,37.671016127904146,60362.38461538462,66,4,3,0.09673077789362745,0.778091192538066,77423,108,135710,0
567,150977,0,930889,41,280679,17350,1,1,19.032524193217956,22704.60975609756,67,1,3,0.07798627121068931,0.44802996089265923,78656,68,58368,0
836,156899,3,858034,54,50061,19420,0,0,43.350076714978435,15889.518518518518,29,4,0,0.4280072750404654,0.5394779919009797,53783,113,125129,0
707,50506,1,440137,13,87681,33031,0,1,0.0,33856.692307692305,118,5,2,0.49990738224496767,0.1535624493129525,22525,72,20636,0
767,147469,1,746678,52,56798,28913,1,1,30.721364542391466,14359.192307692309,33,4,1,0.40876733391317854,0.195157572120654,55468,13,134214,0
756,170524,2,78944,11,37491,8031,0,1,41.00442061504425,7176.727272727273,101,2,1,0.743193637689946,0.5316648121021177,133777,116,69965,0
416,51532,0,579992,53,69063,20960,0,1,0.0,10943.245283018869,14,4,2,0.21025666778087804,0.22468078293349159,62416,20,137909,0
518,155230,2,94935,49,171550,8538,1,1,0.0,1937.4489795918366,74,2,3,0.7921880607008495,0.8064653846285895,5069,140,67025,0
580,84383,1,737982,14,234154,30437,1,1,58.94093693712587,52713.0,89,1,0,0.015479467556789929,0.6162180833820243,53066,184,113222,0
599,161765,5,968387,45,207093,1197,1,0,6.41425071984073,21519.71111111111,62,4,3,0.09482719572812215,0.05657867840440334,70226,135,91437,0
326,106113,5,697320,12,231387,33080,1,0,15.188500006313133,58110.0,15,2,0,0.14854104482192962,0.35787666833830833,90789,118,34048,0
628,164398,0,847941,37,214681,37163,0,1,45.05680297718,22917.324324324323,17,1,2,0.06366058164362132,0.8584259313682444,96961,194,41156,0
392,46536,3,272648,56,114882,928,0,0,0.0,4868.714285714285,74,3,0,0.35057429314321165,0.27744404803362055,64970,47,83089,0
746,90034,3,994212,17,270074,25216,1,1,60.7310997495706,58483.05882352941,104,1,0,0.6922977405696957,0.7197178887491729,23192,156,75581,0
710,69217,2,573221,15,51709,3165,1,1,29.702437721092473,38214.73333333333,73,3,0,0.6566074615041044,0.09380013799603659,67270,45,94319,0
854,64705,2,690729,29,209933,14407,0,1,14.722996845149845,23818.241379310344,14,2,3,0.5958054848380937,0.9305336539493747,2489,5,121991,0
747,75500,4,782079,26,33272,13459,1,0,26.517164132463,30079.96153846154,95,5,2,0.005927521548366155,0.4493456813337937,76887,52,117139,0
520,88838,2,657613,8,229677,20788,1,0,0.0,82201.625,57,5,2,0.6925648214049825,0.4915656355917494,67889,103,13497,0
881,42909,0,351264,31,26138,36705,0,1,66.91708411989723,11331.09677419355,11,2,0,0.3171992735641719,0.5698301312291696,54714,17,76796,0
546,147275,2,630859,20,64854,18464,1,0,0.0,31542.95,46,4,3,0.5853102036191031,0.363432339600125,99953,59,26496,0
495,119043,1,671275,12,117384,15931,0,1,0.0,55939.583333333336,26,1,3,0.5815349475709829,0.7252853012017616,113675,14,79366,0
844,169269,2,864472,21,208341,3711,0,0,50.056438269998694,41165.333333333336,119,5,1,0.1420168217748289,0.01458356570631092,41048,52,82711,1
522,146905,1,507406,7,13662,35501,1,0,12.900317570238869,72486.57142857143,110,1,3,0.4123158780674608,0.1622042676448776,76515,146,149357,0
345,46827,0,526710,56,77206,12588,0,0,0.0,9405.535714285714,15,5,0,0.7409447671568594,0.18882091761012698,77439,34,61313,0
582,32587,5,528001,60,100090,18497,0,0,2.0914596680818582,8800.016666666666,70,5,1,0.21043890406550397,0.6353401839327967,77363,56,70570,0
778,96105,0,158699,26,219307,3692,1,1,47.41118386583382,6103.807692307692,3,1,0,0.5720222784012279,0.8906008145754618,61687,31,79167,0
413,106602,4,135552,54,288460,11554,0,1,0.0,2510.222222222222,57,0,0,0.7664408314350966,0.06363974148133322,33057,80,23851,0
578,63245,4,69410,31,184250,22134,0,0,0.0,2239.032258064516,21,4,3,0.28850494050351394,0.8524585999724518,27379,154,13687,0
378,160798,3,682906,56,152251,36026,1,1,0.0,12194.75,91,5,1,0.31010693815332174,0.81951359575253,6563,110,107904,0
712,124685,5,447917,15,100884,13156,0,0,18.950319388002317,29861.133333333335,11,4,2,0.3620500073668589,0.07662566216197997,9717,44,48590,0
585,154638,0,872403,21,246794,22427,1,1,0.0,41543.0,109,0,3,0.647231393335555,0.14322842377891887,121773,67,57568,0
498,39621,1,717126,46,32173,35026,0,1,0.0,15589.695652173914,30,3,3,0.3514277773889288,0.35004532423048584,12359,136,148873,0
436,166713,1,184359,18,38779,14419,1,1,0.0,10242.166666666666,34,2,1,0.3889967648059003,0.11466961435509515,128612,98,41038,0
639,57096,3,145069,51,60354,11793,0,1,18.323318898684693,2844.4901960784314,107,5,1,0.17785399181622177,0.7582861351004835,134685,95,136102,0
702,100683,3,397800,29,80423,1776,1,1,20.356627994422713,13717.241379310344,109,4,0,0.7906760522817526,0.5040693137644878,37704,174,96127,0
865,99087,5,924897,28,138479,36319,1,0,41.81183899512431,33032.03571428572,14,4,3,0.7138833231759186,0.4107646082865203,67558,165,43445,0
562,167701,2,96234,30,283964,4437,1,0,0.0,3207.8,15,2,3,0.4802034504227661,0.7249476252597914,55285,52,143384,0
396,69832,1,228031,49,195118,8616,0,1,0.0,4653.693877551021,103,1,2,0.7684480571679351,0.2928953730642664,60291,143,95227,0
800,63335,5,78150,6,115065,5572,0,1,26.91510503123319,13025.0,118,4,1,0.549598213397904,0.8715314151146606,54987,160,50357,0
678,81133,4,442981,47,63456,28301,1,1,21.787735581917946,9425.127659574468,60,0,3,0.7672845060153303,0.6539667386808083,52680,181,70447,0
720,84946,4,990176,48,194522,14593,0,1,78.6654804266626,20628.666666666668,22,0,1,0.12922869339170379,0.34650531204522517,103264,56,58979,0
358,52703,2,699529,51,75941,28199,1,0,12.32081263947486,13716.254901960785,21,0,1,0.18036592552246467,0.5398726903215298,63076,147,127593,0
487,51744,2,518798,60,292839,24293,1,0,0.0,8646.633333333333,34,3,3,0.7081459709107153,0.2594484760943917,29711,41,72496,0
761,61641,2,187178,49,143318,603,1,1,49.916106867525144,3819.9591836734694,83,0,1,0.33589951330129647,0.9849807407616681,58066,92,10340,0
800,104147,4,387743,35,165236,12303,0,0,34.37514279117428,11078.371428571429,14,3,3,0.2969261632820545,0.43560432664237847,146850,19,104759,0
561,81804,1,548316,31,271050,163,1,0,22.412150898915144,17687.612903225807,78,1,0,0.6034682851072085,0.8967741526853759,148198,123,114756,0
783,90571,5,311133,27,91604,2621,1,1,40.938698841546824,11523.444444444445,97,5,1,0.5042605281354877,0.9780204572746732,11155,139,62412,0
805,149430,1,719807,51,141541,18920,0,0,57.18297712841135,14113.862745098038,19,2,1,0.27525727981379416,0.5357924599738996,87217,92,138670,1
532,63367,2,981012,27,159585,10592,1,1,27.750183507754656,36333.77777777778,119,0,1,0.3182884700421815,0.7299955700970153,146118,85,66638,0
839,183781,1,245645,37,81322,3564,0,1,17.648927363536195,6639.054054054054,119,4,3,0.32670700664012337,0.5722467869412083,30694,52,43298,0
473,155321,3,289638,11,16391,16347,0,0,20.088586054173945,26330.727272727272,38,2,1,0.10106506245523539,0.09156763278072177,12179,156,106631,0
443,51443,4,169921,23,85124,18076,0,1,0.0,7387.869565217391,16,1,3,0.18364314357614273,0.9524180526173541,33374,183,23514,0
710,76492,5,739423,20,33711,39691,1,1,35.200861179040956,36971.15,41,3,0,0.430024225282003,0.4566364510152646,48992,31,147845,0
682,53039,4,488635,29,202704,26462,1,1,3.4182449020728973,16849.48275862069,33,5,1,0.6254617218227997,0.8940631235615295,140331,59,104087,0
383,69105,1,319570,33,2151,15719,1,1,0.0,9683.939393939394,35,5,1,0.33523862754337674,0.6556053459385618,39102,123,50893,0
800,85789,1,258225,45,94948,18932,1,0,59.872271328009866,5738.333333333333,112,2,2,0.30668223966876734,0.10519089103411894,51134,76,16851,1
420,43560,5,116965,29,265263,3567,1,1,0.0,4033.2758620689656,21,5,0,0.5204129228244138,0.4170529709663131,40426,7,89873,0
783,22598,2,502349,14,170585,15466,0,1,61.93148375801161,35882.07142857143,40,1,1,0.12580309110417032,0.19584815469581973,59949,9,90047,0
304,98988,0,699113,35,201384,23245,0,0,0.0,19974.657142857144,95,5,2,0.3046002595336825,0.16985986448755985,149212,50,120189,0
778,146179,4,273277,9,200555,839,0,0,42.10254314615097,30364.11111111111,9,5,1,0.16650898895759508,0.7150887436833941,14403,194,46118,0
772,74533,3,51549,52,89499,36786,1,0,25.538447539426162,1000.0,10,3,3,0.5213169874623319,0.030019987321461605,69836,124,35758,0
768,174883,0,499658,48,189696,20603,0,0,32.0900077062916,10409.541666666666,38,3,1,0.08989121193286193,0.9661405688939793,92858,55,64849,1
699,86469,4,691961,18,66348,31468,0,0,8.806410575219854,38442.27777777778,117,3,3,0.3582582556819543,0.44992337594608434,19687,15,123657,0
583,182144,3,377747,20,190650,11024,0,1,32.6181362700131,18887.35,102,0,0,0.4769456456739268,0.48975768105873185,8576,153,136669,0
723,62479,3,287858,7,204923,33449,1,1,17.033303410008823,41122.57142857143,112,5,3,0.6669403543025922,0.29942889597115463,147378,78,56465,0
466,117080,5,196577,26,262843,14674,1,1,0.0,7560.653846153846,104,4,1,0.579641021140884,0.08561607281242811,41841,82,11906,0
769,157368,2,758799,8,275860,37130,1,1,18.703577732796987,94849.875,16,5,0,0.7542904968110903,0.5882426783615048,37914,115,21098,0
633,30627,2,868488,57,7194,20886,0,0,29.78718270849185,15236.631578947368,50,0,2,0.5439027258023563,0.34475449850542794,53601,49,83941,0
575,187401,3,781263,13,89742,25462,0,0,30.156213331695206,60097.153846153844,65,4,0,0.2793517079201439,0.6240726160444169,12737,147,8610,0
603,85692,1,542278,42,164134,8151,1,1,27.250804198253068,12911.380952380952,22,2,0,0.18537910601153762,0.5557698078073537,23748,66,109959,0
641,109628,0,737902,37,96468,39797,0,1,14.365552838503346,19943.297297297297,120,4,2,0.04526592292707221,0.21691084680939465,5578,143,9797,0
322,133119,5,427071,19,185574,7705,1,1,0.0,22477.42105263158,74,5,3,0.22207009336797326,0.4616539224076285,81159,106,66428,0
384,135740,1,73259,50,256273,1331,1,0,0.0,1465.18,103,5,1,0.10947895107736061,0.3080630093895853,70558,34,120658,0
447,24260,3,399198,11,77410,17593,0,0,0.0,36290.72727272727,33,5,2,0.29537982219334546,0.23972408122616462,42563,127,72843,0
368,176091,1,718550,54,268013,33394,1,1,0.0,13306.481481481482,87,0,0,0.5620625114020844,0.7697043592969022,137914,19,102866,0
564,132249,1,664974,46,264606,36848,0,0,30.351604467923856,14455.95652173913,15,1,0,0.5536272193705167,0.011906591999208294,47181,145,53405,0
701,199790,3,990639,40,274211,34281,0,0,18.63191198586798,24765.975,5,1,3,0.25453314349115364,0.26888285862512495,4510,78,120056,0
693,104872,4,997624,54,22060,22122,1,0,34.04300898361584,18474.51851851852,78,3,0,0.4068418964928704,0.5310856836719877,16749,136,66871,0
583,130433,2,280494,28,87946,36668,1,1,0.0,10017.642857142857,11,5,1,0.1734172558414393,0.47614598843045786,109326,52,114178,0
813,99391,0,59085,21,37232,19681,0,0,23.29863886009724,2813.5714285714284,35,4,2,0.40238137482721464,0.9401653269195618,80920,84,143063,0
639,180161,1,310526,14,36093,19127,1,1,14.08381639054462,22180.428571428572,96,3,0,0.40806550098409133,0.843657481257244,40542,64,60241,0
347,169830,0,882333,56,15943,7230,1,0,0.0,15755.94642857143,61,4,3,0.24103747113472151,0.7516026271882577,38618,54,38635,0
759,183550,5,822851,28,131999,31511,0,1,45.96202321072846,29387.535714285714,47,1,2,0.20757423699247177,0.5140781332703593,34421,72,140288,0
645,110771,1,143815,51,26167,12644,1,0,0.0,2819.901960784314,37,3,1,0.7836595711853456,0.42890673238413235,64438,15,103729,0
681,162462,2,202377,24,88729,7803,1,0,25.38604564103751,8432.375,81,3,3,0.42969880887900297,0.036569568578795564,106161,82,132302,0
639,84583,0,585349,58,294410,14782,0,0,11.45607497461111,10092.224137931034,115,1,2,0.44966130526185283,0.8216682496388189,96441,29,59866,0
632,102968,2,677555,53,265160,24125,0,0,44.51124367878233,12784.056603773584,90,3,2,0.0062352722944495126,0.43071290416211205,112685,106,55511,0
354,156839,5,983219,22,281127,10800,1,1,0.0,44691.77272727273,45,5,0,0.1454726253083601,0.3209673917226561,8104,22,22988,0
636,34607,2,767275,32,10990,14346,0,0,21.114813833425934,23977.34375,52,4,0,0.28529756945601825,0.6066343799442816,84734,6,117077,0
777,147888,3,251262,49,198273,13204,1,1,23.962524151692563,5127.7959183673465,15,5,0,0.772784594015015,0.7541378188997427,115138,91,127405,0
482,22845,1,85302,18,190164,23847,1,1,0.0,4739.0,19,4,2,0.14019338742964607,0.5230513205327358,31934,63,123851,0
662,124517,0,651935,7,39829,28563,1,0,33.07804894803615,93133.57142857143,34,2,3,0.24263176906149414,0.14958317547539168,88252,176,47220,0
318,105896,4,576074,21,271855,27023,0,0,0.0,27432.095238095237,48,0,3,0.7921255950279834,0.9216464707040448,2933,56,75827,0
508,104362,0,925667,38,121313,5646,0,1,2.3815469434899637,24359.657894736843,119,5,2,0.38488691386871693,0.11284948992637966,136658,83,76507,0
562,108977,2,597083,13,293002,13883,1,1,17.330920433727172,45929.46153846154,105,2,0,0.2547262203761812,0.9695716314967437,111117,51,22460,0
890,108548,1,526178,24,34193,25940,0,1,65.62489997549852,21924.083333333332,16,3,2,0.5074871363894561,0.44247710193066425,94205,179,5023,0
428,93325,0,338271,56,195039,8649,1,1,0.9075417267365564,6040.553571428572,42,0,2,0.3970418276131551,0.9466231942262746,90743,159,53438,0
466,101244,3,131955,10,39220,2778,1,1,0.0,13195.5,9,5,2,0.7659592733131664,0.914649759737926,101156,38,78997,0
545,122270,5,882528,8,284977,12867,1,0,0.0,110316.0,10,5,2,0.0665560383936362,0.4062672654902636,64537,54,148378,0
896,157424,0,834761,29,182280,27149,1,1,27.34178935556498,28784.862068965518,47,5,2,0.632438336414129,0.8000252905254005,145101,41,131699,0
812,119389,4,204612,6,22697,26558,0,0,51.14592388272427,34102.0,116,1,2,0.22326910277038803,0.08977253182676559,33610,34,108811,1
320,135654,3,718697,7,64446,5191,0,1,0.0,102671.0,24,5,1,0.6453354647921854,0.08273426927180005,121968,52,144600,0
440,170591,4,395985,16,107783,27075,0,0,0.0,24749.0625,83,3,0,0.6781762724662932,0.3559566037213562,114767,171,117333,0
793,198113,0,465184,11,3857,7777,1,0,67.00478042175787,42289.454545454544,49,0,0,0.6793782864187188,0.6097851001431684,125960,94,81306,1
335,39558,5,856236,50,2614,29653,1,1,0.0,17124.72,66,3,3,0.6933565591107377,0.009321069819484995,12492,80,137229,0
814,148327,0,849925,12,277644,22661,1,1,47.43190912522986,70827.08333333333,105,2,1,0.5745020054264726,0.5151751250097514,67878,42,138385,0
469,60532,5,231110,34,294356,5061,1,1,0.0,6797.35294117647,100,3,1,0.1139233173718882,0.97564690374854,97120,41,34400,0
851,55420,3,342229,44,160864,14007,0,1,89.30854953546785,7777.931818181818,100,0,1,0.04152207479902153,0.8584454286001958,93598,113,45982,1
476,162741,2,830306,40,270818,32741,1,0,20.34217324612152,20757.65,51,3,0,0.27261219502468625,0.23247061975224914,103883,152,145419,0
561,32364,0,921144,41,196568,17308,0,0,0.0,22466.926829268294,8,4,3,0.39605588688886195,0.5280687619300749,95872,114,5827,0
697,172611,3,125115,25,8415,27526,0,1,44.73728648064395,5004.6,119,4,0,0.2420967205916421,0.17140876911667802,35042,133,80131,0
375,158698,0,841915,54,214348,29931,0,0,0.0,15591.018518518518,120,4,0,0.5937655471404768,0.26326014736299885,124530,56,60508,0
634,199069,3,514768,9,5439,1220,0,0,13.517548566677227,57196.444444444445,104,3,1,0.5779547822143398,0.9230008384772747,73532,190,112979,0
603,140230,4,610796,11,244953,37259,1,1,4.602239692833361,55526.90909090909,59,4,1,0.7775396008909956,0.9977781347610138,145663,166,143949,0
771,177125,1,121564,53,110091,13424,0,0,77.19127873225277,2293.6603773584907,36,0,0,0.3204584723995276,0.24256098811784677,78990,177,51140,1
898,41336,1,696340,9,42377,31737,0,0,64.69416208114438,77371.11111111111,23,4,1,0.6285821286478108,0.21206787300786767,81552,135,36962,0
699,180182,1,694009,16,77561,18668,1,1,13.600623951184362,43375.5625,46,2,3,0.5929599765922455,0.3838593243415741,89510,141,52764,0
545,48858,1,679570,15,205006,23079,1,0,0.0,45304.666666666664,42,3,1,0.790999613793835,0.44585642235204503,130922,18,108766,0
544,76582,0,801072,7,254080,14425,0,1,0.0,114438.85714285714,35,3,3,0.6188922009674919,0.08924866763088812,135376,36,57142,0
551,43074,1,948754,12,171217,34129,0,0,0.0,79062.83333333333,115,5,1,0.22685962456164976,0.147708663937394,88538,30,98147,0
789,92299,3,857366,37,48145,4696,1,0,82.97400355955686,23172.054054054053,80,1,0,0.012217919302187142,0.4248272674236111,82869,99,55468,1
493,154820,1,757545,42,270047,35845,1,0,10.64956276026939,18036.785714285714,29,2,0,0.7745329235830223,0.23542056806648315,10065,120,112363,0
400,68255,4,982200,10,237195,8294,0,1,0.0,98220.0,78,4,3,0.5728552350757976,0.8449347694783974,11963,28,14063,0
500,167995,4,690817,57,122961,35327,0,1,0.0,12119.59649122807,86,3,1,0.6500853023486787,0.7515465621428125,111005,152,54679,0
313,129134,4,688415,11,166338,982,0,1,0.0,62583.181818181816,64,1,3,0.6345953235430019,0.5363384308807269,53056,112,49888,0
363,133207,3,564954,43,289180,550,0,0,0.0,13138.46511627907,114,2,3,0.5886088719945354,0.4326293190684014,66634,121,91698,0
354,188985,1,780609,50,113217,3723,1,1,0.0,15612.18,116,4,0,0.6011795748673403,0.8309878032139912,94993,184,98870,0
763,97732,5,117807,34,7732,21915,0,0,16.94896052967702,3464.9117647058824,53,5,1,0.7435665478190949,0.16599534357395618,34835,119,110435,0
734,82035,1,530470,33,43716,10652,1,1,13.209390287859073,16074.848484848484,58,0,2,0.731289025542779,0.8873878588674325,51305,5,135786,0
718,199020,2,454055,11,180095,23916,0,1,70.70913688010083,41277.72727272727,28,2,0,0.3033813966719864,0.0490773833685646,8354,155,120461,1
577,120260,2,917100,19,299308,32799,1,0,11.432317069730232,48268.42105263158,95,4,3,0.0247692189062783,0.9233944617888292,115655,176,11041,0
730,130629,4,118932,52,221971,1086,1,0,68.20158848660797,2287.153846153846,112,0,0,0.030945274796853363,0.13881005236448785,77259,21,103258,1
396,73334,3,661571,25,185396,21066,0,0,0.0,26462.84,80,1,3,0.357310691618775,0.8120990440371688,30106,110,7411,0
841,58778,4,225113,7,96900,29572,1,1,37.6306060118143,32159.0,26,0,3,0.6679836239203258,0.01804507839428038,90222,97,64969,0
601,50564,5,889374,46,131815,16980,1,1,0.0,19334.217391304348,64,3,2,0.6780889812924175,0.8150781704084231,23164,34,90898,0
863,60240,2,859262,43,11511,37002,1,0,40.884346856043486,19982.837209302324,96,2,3,0.3235116649839396,0.5840707731398851,117542,59,51278,0
391,55133,5,273679,9,111338,26487,0,1,0.0,30408.777777777777,7,1,3,0.2412893002783738,0.019034250925496266,36193,172,106453,0
598,154410,1,878121,8,187041,1381,0,1,9.884877526923052,109765.125,72,0,2,0.4052811555452367,0.7742097595242466,42008,81,120425,0
718,30430,5,521901,12,271719,21660,1,0,19.029180153182033,43491.75,80,3,2,0.6660345654959501,0.10155730104748528,131661,110,93195,0
597,133289,1,972492,8,276728,15358,0,1,14.102628990400447,121561.5,66,4,1,0.5091968957417344,0.5399054259028981,111966,157,81112,0
568,190873,5,743328,39,246358,5260,1,0,36.077408013856676,19059.69230769231,78,1,1,0.11184465092762785,0.3320039404371594,102779,92,146092,0
399,157800,2,82740,13,6449,38017,1,0,0.0,6364.615384615385,108,3,3,0.2897871549268462,0.7591682612979886,91073,179,99590,0
528,92518,5,242585,39,243356,8905,0,0,8.039818455431028,6220.128205128205,17,4,0,0.4443407321532304,0.8532215716726503,78967,102,38186,0
443,30692,0,433418,15,65585,3334,0,0,0.0,28894.533333333333,70,3,1,0.4306099450297376,0.46427670100288854,30418,198,100187,0
481,170142,2,250773,59,184860,8901,1,0,0.0,4250.389830508475,96,3,2,0.664507216070966,0.7579402135569584,46450,33,74780,0
710,20566,5,175809,45,283917,32922,0,0,31.524750502664993,3906.866666666667,99,1,1,0.7457374110725256,0.9166249324370497,144476,179,8446,0
678,142639,0,979141,26,266387,23998,0,0,7.682709217895887,37659.269230769234,58,5,1,0.08037047534020464,0.6892005374743148,137952,27,137806,0
664,140771,1,875610,29,199323,32799,1,1,23.81068935148985,30193.44827586207,120,5,2,0.17952607227671066,0.3219904860941518,109506,164,120390,0
517,54546,0,462880,9,89783,18465,0,0,9.327461544944054,51431.11111111111,41,4,1,0.3137255285115373,0.4633120795557011,133539,134,94537,0
876,153177,1,254275,9,156265,4679,0,1,37.4243719448047,28252.777777777777,54,5,3,0.2371184651608223,0.22999774013396668,121017,114,102584,0
352,51583,2,222724,35,211112,15503,0,0,0.0,6363.542857142857,100,3,0,0.3266323959667543,0.4584083396092091,61111,177,88683,0
505,60616,3,919984,7,154263,7990,0,0,24.836159137952254,131426.2857142857,54,3,1,0.03257698289218558,0.24589047905749795,107896,130,54750,0
