cibil_score,dti_ratio,employment_tenure_days,days_past_due,net_monthly_surplus,bounced_cheques_12m,monthly_income,co_applicant_income,loan_amount,loan_tenure_months,proposed_emi,loan_to_income,loan_to_value,loan_purpose,property_value,existing_loans,existing_emi_monthly,credit_enquiries_6m,credit_history_years,num_credit_cards,credit_utilization,avg_monthly_balance,balance_volatility,monthly_inflow,salary_credit_regular,employment_type,employment_tenure_years,age,education,marital_status,num_dependents,num_children,gender,city_tier,loan_approved
758,0.84,7759,120,131134,2,309136,10000,2601451,48,89640,13.34,0.99,1,100000,4,72936,4,23,0,0.37,422475,0.49,62887,0,1,16.2,40,1,1,3,4,0,2,0
387,0.39,3875,60,81378,5,392086,50000,1894975,36,59005,19.4,0.52,5,5000000,3,43908,4,20,3,0.97,274640,0.36,452461,0,2,10.8,28,1,1,5,4,0,1,0
672,2.03,7251,90,38495,3,390030,5000,651952,84,71388,7.87,0.09,5,100000,4,27817,1,14,2,0.96,344020,0.46,367030,1,3,21.9,43,0,0,2,1,0,1,0
399,2.83,7532,60,19767,3,152049,0,1007698,84,73249,27.96,0.17,4,100000,5,55512,0,16,2,0.08,32804,0.41,93807,1,3,1.1,57,0,0,4,3,1,1,0
430,0.81,2933,60,54332,0,459450,10000,2771714,120,62083,59.07,0.32,4,1000000,0,76123,5,21,4,0.02,440924,0.78,417950,0,3,9.8,36,1,2,5,4,0,1,0
608,1.43,548,120,93279,4,233302,0,274903,24,69719,31.36,0.1,3,500000,2,34812,4,12,1,0.04,271493,0.01,44754,1,1,8.7,42,1,2,2,3,0,3,0
643,1.9,5461,60,-10574,0,188448,0,1577665,24,32354,44.77,0.82,2,0,5,38413,5,18,4,0.69,335598,0.43,87933,1,3,16.9,28,2,1,0,0,1,3,0
791,3.0,838,30,-43664,5,437194,0,2996245,84,74568,41.29,0.3,2,1000000,3,88474,5,20,4,0.71,457115,0.16,240890,1,2,4.2,63,2,0,0,2,1,2,0
713,0.31,5526,60,62200,1,19218,10000,662026,120,80811,51.14,0.98,1,500000,0,19983,0,24,1,0.72,64135,0.31,492870,1,1,9.5,63,2,0,5,4,1,2,1
685,1.5,5544,30,156238,1,293932,10000,1301955,60,19793,13.73,0.7,1,500000,3,56026,2,22,2,0.63,447198,0.11,89604,0,1,15.4,46,1,1,2,2,0,1,0
491,1.16,3815,120,-32744,1,30501,20000,879884,60,38066,45.48,0.17,3,500000,5,23425,0,7,3,0.29,285843,0.43,409228,1,2,13.3,60,2,2,3,1,0,2,0
576,2.6,7260,90,180517,3,219061,20000,2571669,120,85454,53.0,0.48,0,5000000,2,5010,1,21,1,0.17,478095,0.64,351121,1,3,12.0,43,0,1,4,0,0,3,0
460,1.43,847,180,130889,4,113733,20000,892332,48,72135,11.12,0.47,2,1000000,1,53142,1,8,0,0.93,157068,0.66,143697,1,2,9.6,36,2,0,0,4,1,2,0
759,0.33,4709,30,187776,0,287354,0,453048,84,33771,21.46,0.49,0,0,4,73384,1,18,2,0.91,257275,0.8,260850,1,1,16.5,41,0,2,2,4,0,1,1
613,1.9,4507,90,-16281,0,138476,50000,2063488,24,14440,58.24,0.54,0,1000000,4,87565,4,16,1,0.24,357878,0.82,452214,0,3,14.2,60,2,1,0,3,0,2,0
321,2.31,6575,90,-7983,5,346369,10000,1897634,48,12289,47.07,0.03,3,100000,5,44974,3,9,1,0.17,270842,0.6,73521,0,2,19.2,49,0,0,4,2,1,3,0
552,0.01,4773,30,-4296,1,186561,20000,238944,12,50178,17.67,0.69,1,500000,0,47346,4,13,1,0.38,26190,0.35,310911,0,0,16.1,40,1,2,5,0,0,2,0
860,2.58,4254,120,-19987,4,233989,50000,1575813,120,71697,34.27,0.49,0,100000,0,81726,0,11,3,0.05,386291,0.05,46163,0,1,3.1,32,0,1,1,3,0,1,0
774,0.56,6157,0,29991,4,335865,20000,1981947,120,67500,24.86,0.79,3,1000000,2,49113,2,19,4,0.16,45885,0.04,415475,1,3,13.6,57,2,2,1,0,0,3,0
358,1.66,4468,90,20258,5,498260,20000,1719023,24,82478,29.91,0.82,1,0,0,59399,2,23,4,0.38,263116,0.11,367728,0,0,1.0,46,1,1,5,0,1,2,0
810,1.25,2272,90,28348,2,445869,50000,591090,24,50223,21.95,0.23,0,100000,0,97562,2,21,1,0.24,210286,0.98,84950,1,2,8.5,23,1,0,3,1,1,1,0
775,2.16,7672,120,176884,4,489894,20000,328477,24,39369,17.48,0.05,0,100000,0,17959,5,6,1,0.74,221633,0.79,410275,0,3,9.1,38,1,1,3,1,0,2,0
489,1.11,5192,120,117848,4,182022,0,1716485,120,15184,40.81,0.7,1,5000000,3,71290,2,8,4,0.9,372855,0.4,196976,0,3,18.8,21,0,1,1,3,1,2,0
862,2.61,3320,60,-39940,0,149988,0,727519,60,69483,46.93,0.98,5,1000000,3,2213,5,17,3,0.91,486708,0.47,498290,1,0,4.0,39,1,0,4,3,0,3,0
866,2.19,2558,120,159664,5,206983,0,467876,36,72774,52.56,0.45,1,100000,1,50378,3,6,2,0.6,78457,0.74,158823,1,0,14.2,33,2,2,2,3,0,3,0
543,1.94,4698,90,87727,4,41449,5000,2728283,36,14156,10.16,0.26,4,1000000,3,9855,2,3,4,0.7,98515,0.51,140467,0,1,4.2,63,1,2,2,0,1,3,0
804,2.39,4311,30,169182,4,361477,20000,1264167,120,3411,49.55,0.16,4,0,4,74091,5,22,1,0.49,411931,0.36,101664,0,0,20.9,53,2,0,5,4,0,1,0
430,2.26,1996,0,-77,0,292926,5000,2503629,60,16674,16.03,0.29,3,100000,5,48279,4,7,3,0.15,32006,0.35,279999,1,3,11.6,50,1,0,4,1,1,2,0
784,0.11,3673,60,28563,4,495780,10000,1143511,84,9308,26.21,0.33,3,0,1,5544,2,17,3,0.64,55572,0.21,196550,1,3,15.6,42,0,2,2,4,1,1,0
320,1.18,1564,30,85102,0,292387,50000,72507,84,69460,54.19,0.42,2,100000,0,21137,1,14,1,0.35,91176,0.89,414951,1,2,14.2,47,1,0,3,2,0,3,0
466,2.79,4018,0,39779,2,39379,10000,252132,120,1576,27.82,0.66,4,500000,4,71124,0,6,0,0.01,17830,0.41,247108,1,1,6.7,33,2,2,2,1,1,1,0
573,0.38,1840,0,114361,3,47780,5000,396415,120,15641,12.63,0.27,1,5000000,1,39426,4,7,3,0.57,117704,0.75,159071,1,2,19.8,28,2,0,5,2,0,1,0
687,2.21,6058,0,100811,0,433956,0,1942231,60,75499,10.43,0.05,4,5000000,5,91386,3,0,4,0.2,214524,0.57,478152,1,3,13.8,22,1,0,2,2,0,3,0
900,2.92,7131,180,49704,0,124944,20000,2305899,60,90827,28.91,0.37,5,5000000,1,64588,4,10,0,0.89,425323,0.75,344733,1,2,11.2,39,0,0,3,3,1,2,0
615,0.16,3291,30,79157,4,268446,20000,425631,84,99264,46.0,0.86,3,0,4,75173,1,9,2,0.93,183177,0.32,333407,1,0,11.6,44,1,0,5,0,0,1,0
313,2.05,2887,60,60234,0,292128,0,1208195,36,51907,59.84,0.5,5,1000000,1,4827,2,4,4,0.16,64030,0.75,378086,0,2,19.6,25,0,0,0,4,1,2,0
541,1.4,726,60,11687,5,10050,20000,1658334,48,42139,47.46,0.96,3,5000000,4,93069,2,24,1,0.03,329513,0.79,471363,1,3,1.3,28,2,0,5,2,1,3,0
645,1.74,1244,0,-13509,1,409806,50000,878035,60,85325,52.74,0.5,5,100000,1,38906,3,1,0,0.0,342476,0.1,2008,1,0,8.6,40,2,2,1,3,0,2,0
864,0.26,3460,30,176621,1,50205,50000,2625193,48,40651,45.12,0.28,3,100000,1,77184,0,21,4,0.91,482618,0.09,64277,0,3,18.5,55,1,0,2,0,1,2,1
639,0.13,6697,180,22115,2,287306,50000,2571598,48,58315,53.83,0.19,1,500000,1,38747,2,1,3,0.15,415349,0.99,213818,1,1,0.8,22,0,1,1,1,0,2,0
391,2.0,3718,0,67935,0,321890,10000,1768478,12,94435,5.5,0.69,5,0,4,15738,5,18,1,0.44,264551,0.12,379143,1,1,14.1,26,2,2,1,2,1,2,0
666,2.47,1065,120,33778,5,154177,0,2913075,36,16658,55.87,0.54,0,100000,1,79075,3,15,0,0.06,265449,0.68,156097,1,0,8.9,36,0,1,4,3,0,1,0
754,2.35,4771,60,85853,4,440715,50000,1946415,120,39907,24.39,0.6,3,100000,5,10357,2,10,3,0.37,31653,0.75,303652,0,1,4.5,56,1,0,4,3,1,1,0
727,1.63,7016,90,-29552,4,439857,5000,628109,48,80720,55.38,0.76,4,500000,5,91121,5,13,1,0.79,463914,0.06,67170,1,1,13.5,22,0,2,4,3,1,3,0
808,0.3,282,0,192249,3,21628,50000,347834,120,64917,5.47,0.73,0,500000,3,81130,4,21,1,0.41,455907,0.75,73444,0,1,18.3,34,0,1,5,1,1,3,0
334,2.06,1081,120,1550,2,183104,10000,2678094,120,32747,43.2,0.04,4,1000000,3,38055,3,4,0,0.78,286593,0.42,472375,1,1,10.3,58,2,0,0,0,0,3,0
505,0.73,3885,60,-706,5,468245,5000,510773,36,79501,44.41,0.8,3,1000000,3,43779,3,3,0,0.69,471685,0.27,343228,0,3,3.2,46,0,2,0,4,0,1,0
380,2.73,2881,180,-28554,5,310660,0,2783699,36,77029,59.82,0.53,1,1000000,3,48033,3,22,0,0.52,165196,0.67,249429,0,0,6.7,40,0,0,1,4,1,1,0
861,2.51,2584,30,26579,4,359301,0,790904,12,53140,46.36,0.39,0,100000,3,59072,2,18,4,0.74,227996,0.83,174144,1,0,21.6,49,2,1,1,2,0,1,0
687,2.13,7240,60,166461,3,404692,50000,1448984,120,55936,23.57,0.54,0,500000,5,4617,3,9,1,0.88,237035,0.57,124518,0,3,2.4,24,2,2,1,0,0,2,0
301,2.85,6004,30,64679,4,129558,5000,2961030,84,27178,33.88,0.61,3,0,0,51536,4,22,2,0.79,149709,0.87,37487,0,2,3.5,40,1,2,1,2,1,1,0
689,0.09,2970,30,35615,3,312944,5000,1671348,36,68750,22.63,0.15,5,1000000,1,42342,0,8,3,0.69,77725,0.02,135520,0,2,21.8,44,2,2,3,4,0,1,0
865,2.21,1152,180,-32899,1,45788,50000,618366,48,9000,12.57,0.42,3,5000000,5,10687,0,17,0,0.7,353191,0.74,375728,0,1,19.4,21,0,2,1,1,0,1,0
405,0.99,7766,180,147250,5,130754,50000,573259,84,9065,15.66,0.34,3,100000,5,6796,1,4,1,0.16,279650,0.17,162371,0,0,15.6,45,1,2,4,0,1,3,0
776,2.72,6985,0,-21984,1,493189,20000,1475544,84,63404,14.1,0.35,2,0,2,52757,4,16,3,0.95,439332,0.29,459759,1,0,3.3,34,2,1,1,0,1,3,0
701,0.8,3497,0,100004,4,298384,20000,2533394,24,2085,33.38,0.09,1,100000,0,59191,4,22,2,0.21,219509,0.57,472200,1,0,5.3,55,2,2,5,2,1,3,0
855,2.17,947,60,125725,2,414138,50000,124745,48,50325,54.46,0.16,5,1000000,4,39801,3,17,3,0.35,449926,0.27,126265,1,2,4.0,41,2,2,4,2,0,1,0
461,2.63,4760,180,40481,0,336342,10000,1339844,48,70068,54.85,0.16,1,100000,0,59072,1,20,2,0.52,490929,0.17,207573,0,1,13.9,56,1,0,4,1,0,1,0
501,0.12,1717,120,2802,2,330883,20000,1822612,36,63063,4.23,0.37,3,1000000,2,6747,5,0,0,0.13,148965,0.89,400880,1,0,8.8,43,1,2,1,0,1,3,0
569,1.19,5244,60,-42451,2,214674,50000,2158873,48,18622,5.71,0.89,2,100000,5,57996,5,13,4,0.59,210833,0.91,30569,0,2,1.1,40,2,1,1,4,0,2,0
570,2.29,66,90,160005,0,284233,5000,2256030,120,64902,15.46,0.21,3,1000000,0,7936,4,13,2,0.18,227719,0.04,346864,0,3,6.4,46,1,1,2,4,0,3,0
755,1.36,6149,30,106434,5,42600,20000,2710877,24,5834,16.05,0.42,3,500000,1,32293,4,13,0,0.92,385734,0.5,385333,0,0,18.9,47,0,1,4,3,0,2,0
761,0.8,636,30,-2158,1,187248,10000,200061,36,86733,6.6,0.31,1,500000,3,82678,4,0,3,0.89,33761,0.2,210516,0,3,17.5,61,0,0,1,4,1,2,0
551,0.66,313,0,-3461,1,280311,0,1824476,60,13008,23.92,0.79,2,500000,1,99583,2,3,3,0.54,111971,0.86,122415,0,0,14.1,34,1,2,5,3,0,1,0
595,0.39,3397,120,-16283,5,350496,5000,1721079,48,79498,35.68,0.05,1,500000,0,12696,4,22,3,0.45,426038,0.46,79285,0,2,1.9,56,2,1,5,3,1,1,0
637,2.57,564,180,135668,0,424380,10000,2534733,48,48229,35.11,0.2,3,500000,5,13097,5,6,4,0.1,386664,0.48,351592,1,2,19.4,24,1,2,1,2,0,1,0
352,1.73,1601,180,196281,3,358109,10000,1040544,12,9012,33.06,0.21,4,5000000,5,6228,2,23,1,0.82,392111,0.63,123035,0,0,11.8,46,1,1,2,4,0,2,0
516,0.23,825,0,104088,2,397684,10000,2511410,60,52125,20.98,0.99,0,100000,2,60832,5,11,2,0.38,211698,0.06,255588,1,1,10.9,64,2,1,3,3,0,2,0
487,1.15,6649,90,136272,4,241609,5000,1432336,60,86702,42.68,0.57,5,500000,4,48056,4,12,1,0.25,154185,0.13,267201,1,1,20.5,60,2,1,4,4,0,3,0
679,1.1,5201,60,161340,1,303559,10000,2285632,120,85164,49.76,0.14,3,5000000,1,56868,5,24,3,1.0,76089,0.5,69997,0,2,0.2,36,0,0,4,4,1,3,0
792,0.55,3670,60,141359,5,476869,0,971657,24,10849,21.43,0.27,5,5000000,2,93685,0,14,4,0.67,476892,0.97,101456,0,3,12.2,63,0,2,2,4,1,3,0
340,1.31,1025,120,65042,4,81895,20000,2534183,120,42372,6.05,0.17,2,100000,4,62136,2,19,0,0.07,432143,0.84,319103,0,3,17.4,59,1,2,3,1,1,3,0
456,1.0,2251,0,77922,0,352044,5000,2953344,60,14767,18.48,0.12,4,100000,3,53345,2,1,4,0.8,71064,0.89,417438,1,0,1.4,40,0,2,0,3,1,2,0
314,1.03,4757,0,42447,4,243573,10000,795089,120,81647,9.1,0.8,5,1000000,1,14141,3,25,1,0.75,90887,0.14,357612,0,3,7.9,44,2,2,5,4,0,1,0
364,2.22,804,90,33402,4,104330,50000,2019880,120,40989,28.57,0.5,5,1000000,5,85890,4,13,3,0.4,366547,0.96,261516,0,3,21.5,30,2,1,5,2,0,1,0
820,0.67,2451,60,-7393,2,479045,20000,242888,12,41582,10.2,0.63,2,500000,1,67062,1,11,2,0.12,208250,0.73,166970,1,3,4.7,22,0,2,2,1,0,1,0
643,1.93,7270,0,108693,0,68650,5000,837424,24,45370,28.31,0.33,3,0,5,32958,1,12,4,0.5,60086,0.33,189676,1,2,11.7,65,1,0,1,3,1,2,0
428,1.71,4631,180,-37177,4,462197,50000,2957280,120,46052,14.04,0.55,3,1000000,5,67409,1,13,1,0.76,442931,0.86,409085,0,0,16.4,29,0,0,1,0,0,1,0
771,1.7,1391,120,-20014,1,478084,50000,2381038,120,46289,44.59,0.26,0,0,3,7958,1,25,1,0.08,47614,0.75,12625,0,0,8.6,38,2,0,1,3,1,3,0
362,1.99,1235,60,71682,0,10615,10000,1983705,60,22565,2.63,0.31,2,1000000,3,76743,0,2,0,0.16,346458,0.74,184791,1,0,9.0,62,0,2,0,1,1,3,0
438,1.65,6720,90,14325,1,186684,5000,2491573,24,54164,33.73,0.65,4,5000000,0,72904,1,24,2,0.62,363340,0.73,202142,0,2,1.4,50,0,0,1,2,1,1,0
798,2.64,4032,120,197975,5,350081,10000,1479412,60,69125,11.0,0.15,0,5000000,4,7489,5,12,1,0.56,160665,0.8,127264,1,2,4.2,23,2,1,0,1,0,1,0
892,2.03,3280,30,77925,5,257326,0,329709,60,51281,1.06,0.62,2,5000000,2,24833,3,7,2,0.91,299032,0.95,495989,0,2,19.4,49,1,0,2,4,0,3,0
691,1.64,6906,180,7771,3,314080,50000,1002337,120,58988,52.28,0.85,3,0,3,8346,1,15,3,0.81,479323,0.14,232756,1,2,18.0,27,2,2,0,1,0,1,0
718,2.49,6016,90,4973,5,170444,0,2945678,84,76285,40.62,0.12,0,500000,0,38374,3,5,4,0.92,10568,1.0,460382,0,1,6.7,45,0,1,1,0,1,1,0
588,1.82,6260,120,198297,4,379956,10000,2309504,60,89219,6.84,0.9,3,1000000,4,45053,2,10,1,0.47,222745,0.87,271481,1,3,8.4,44,2,0,4,0,0,1,0
678,0.87,4723,0,95762,0,340019,20000,2846890,120,71037,40.18,0.08,1,1000000,4,85822,5,14,3,0.79,134091,0.44,469338,0,0,9.7,63,1,2,1,4,1,2,0
789,0.62,4844,30,-10893,5,91782,50000,987017,48,24423,37.09,0.35,1,0,1,43235,4,18,0,0.05,234073,0.16,154232,1,2,7.6,26,1,2,5,4,1,1,0
530,0.46,3549,90,7888,1,71700,20000,967658,60,85693,28.93,0.61,0,5000000,0,39428,1,25,2,0.29,497326,0.45,360483,1,0,14.4,35,1,2,0,0,1,3,0
340,2.7,4200,0,-39044,4,18109,5000,1980806,48,85705,25.74,0.56,0,500000,0,57237,3,23,3,0.64,340309,0.78,180948,0,1,0.3,35,1,1,5,2,0,2,0
327,2.13,6638,180,36839,5,33758,50000,2933412,36,89860,53.34,0.1,2,1000000,1,18796,5,1,2,0.76,265088,0.6,353732,1,2,19.4,60,0,2,0,1,0,3,0
434,2.81,7938,30,137299,2,229699,0,1760230,84,2706,15.46,0.8,4,500000,2,47566,3,10,2,0.57,439743,0.28,248266,0,1,6.6,47,0,0,3,0,0,3,0
500,1.81,4141,60,117605,1,380736,20000,321718,12,52753,24.5,0.97,4,500000,3,55776,4,19,1,0.48,350603,0.41,265441,1,2,19.2,41,0,0,3,4,0,1,0
332,1.42,6966,0,176282,1,23317,5000,1802683,24,94755,20.42,0.18,1,100000,5,65457,2,19,2,0.23,446359,0.95,33658,1,0,10.0,65,0,0,3,4,1,3,0
347,0.18,1354,120,137306,3,485514,50000,1427326,24,42334,46.5,0.9,1,500000,1,68696,1,8,3,0.17,287261,0.8,240417,0,3,17.1,52,1,2,1,2,1,1,0
802,2.01,5335,90,51131,2,210073,5000,2296862,36,68148,55.07,0.56,1,100000,3,28181,3,23,0,0.88,190989,0.12,198008,1,1,18.2,52,1,2,0,3,0,2,0
706,1.75,5077,30,17594,3,454639,0,2204346,60,83374,51.14,0.94,3,0,5,3371,1,22,1,0.14,384501,0.55,489020,0,3,6.6,32,0,0,3,4,0,1,0
873,2.97,5055,0,137973,5,35622,50000,1539345,12,96963,48.06,0.18,4,5000000,0,59435,5,3,4,0.44,263297,0.93,275643,0,1,14.1,64,0,1,4,2,0,1,0
398,0.72,5611,60,-38481,2,16800,5000,2173234,36,51627,59.22,0.79,0,100000,1,42020,0,22,0,0.89,228482,0.03,7919,0,2,13.4,29,2,1,2,0,1,1,0
846,1.59,1836,90,112187,1,255869,10000,2818818,36,16546,42.13,0.06,1,500000,5,36119,3,16,3,0.15,339461,0.04,418818,0,3,10.5,40,1,1,2,3,0,1,0
761,1.95,2892,90,147338,3,45539,50000,944803,24,49735,45.31,0.88,5,5000000,2,98764,2,23,1,0.13,42706,0.72,233477,1,0,10.3,35,0,1,3,0,1,1,0
304,1.93,2496,0,-48168,4,243259,50000,2417103,48,75581,58.99,0.67,2,500000,3,67653,5,7,2,0.69,83092,0.58,204179,0,0,6.7,33,0,2,3,2,1,2,0
517,1.68,2583,60,122440,2,143672,50000,1280990,48,26299,1.41,0.37,0,500000,3,71892,4,24,0,0.33,194540,0.05,96003,1,3,6.8,28,0,1,3,0,0,1,0
802,2.33,2558,180,169497,1,474270,50000,2269104,60,67927,38.41,0.19,0,100000,3,34374,3,24,1,0.44,58643,1.0,281188,1,0,12.1,41,0,0,2,1,0,2,0
697,0.61,5577,180,63922,0,95163,10000,1419134,60,44347,44.6,0.82,0,0,0,32839,0,15,4,0.63,151188,0.58,405812,1,0,0.7,65,0,2,3,2,0,3,0
692,2.18,3618,30,55474,2,256765,0,861147,120,42221,55.15,0.6,4,500000,5,96435,4,0,4,0.38,400935,0.49,125286,1,2,20.5,45,1,2,5,3,0,1,0
506,1.86,1559,0,19715,2,170441,10000,1815990,120,41776,53.15,0.36,1,100000,3,71887,2,9,4,0.8,491518,0.45,350022,0,3,14.3,55,2,0,4,4,0,3,0
314,2.69,6683,30,21835,5,238053,10000,2159354,36,99203,50.68,0.44,2,500000,4,12464,1,6,1,0.97,36035,0.7,142269,0,3,9.8,60,2,0,4,0,0,2,0
853,2.54,1507,180,23366,4,288833,5000,2699427,60,16948,56.8,0.83,3,5000000,3,706,1,14,0,0.93,86424,0.46,162299,0,1,1.4,50,2,1,4,2,0,1,0
760,0.95,4071,90,190815,5,353603,20000,2313964,48,26118,32.71,0.34,2,0,0,15660,3,0,2,0.55,291698,0.66,178640,0,2,13.9,51,1,2,4,0,0,1,0
874,0.83,2063,30,-12430,2,48469,20000,821562,12,80693,1.41,0.09,2,500000,1,83848,4,21,0,0.35,251515,0.49,134821,1,0,0.4,26,0,1,5,2,1,3,0
540,2.94,3642,60,169049,2,499155,5000,1577682,24,18021,1.65,0.91,5,0,3,62323,0,15,2,0.43,491590,0.61,189091,1,1,15.0,31,2,1,5,2,0,3,0
863,1.58,2000,120,87687,4,142030,10000,2404628,48,74892,33.13,0.39,2,0,3,2798,0,20,0,0.33,1222,0.81,355105,0,3,1.6,62,0,2,0,3,0,3,0
395,2.72,6386,180,153370,4,264905,5000,1767563,120,58964,26.68,0.35,3,5000000,1,25753,2,1,0,0.44,135712,0.82,254469,1,1,14.4,28,2,0,3,0,0,2,0
784,0.49,6069,180,-11689,3,261030,50000,280721,84,49215,27.62,0.2,2,5000000,5,41113,5,2,1,0.01,398130,0.85,195558,0,3,8.9,28,1,2,1,0,1,2,0
706,1.93,7374,60,40245,1,332156,5000,275366,60,2223,24.62,0.9,5,1000000,5,49181,4,14,4,0.06,180825,0.2,39873,1,0,14.6,59,2,0,0,2,1,1,0
530,2.43,5007,30,53187,1,210146,5000,2722509,24,37110,55.15,0.22,2,0,4,29722,4,23,4,0.77,378320,0.06,192401,0,2,3.0,32,2,0,1,1,0,3,0
470,2.84,1294,0,-26566,3,70021,50000,308329,84,91162,22.19,0.64,1,500000,0,86991,1,17,4,0.33,473031,0.84,219625,1,2,2.6,23,0,1,1,4,0,2,0
840,1.01,6904,90,36879,1,492156,20000,406166,24,97453,51.52,0.88,5,5000000,1,68847,2,14,4,0.79,420953,0.04,256538,0,0,5.4,63,0,1,0,4,0,2,0
335,2.17,4065,120,-34261,2,191854,50000,2621003,36,22526,54.27,0.03,1,500000,0,61170,2,3,0,0.48,430964,0.21,350758,0,1,9.1,65,2,1,3,1,1,2,0
824,1.62,5898,0,16202,3,478735,0,2258841,60,75392,30.47,0.83,1,0,5,29362,5,2,4,0.81,11086,0.53,30184,1,1,5.6,36,1,2,0,3,0,3,0
459,0.18,2752,0,48580,3,241979,5000,156948,36,39829,27.37,0.41,0,5000000,1,51026,2,6,0,0.66,280339,0.86,374066,1,2,1.8,61,1,2,2,1,0,2,0
542,2.07,1753,60,174491,1,462531,5000,2863998,24,80068,45.9,0.66,5,1000000,2,47201,4,23,2,0.2,441106,0.9,283922,1,1,7.2,47,0,0,5,1,1,2,0
385,2.07,4210,30,29599,0,34642,20000,1624475,36,52862,42.77,0.37,2,0,4,48974,1,19,3,0.45,235206,0.63,135775,1,0,15.5,36,2,0,4,3,1,3,0
877,2.79,1603,180,114721,1,351147,10000,592750,60,87281,20.38,0.7,4,500000,2,92297,2,21,3,0.7,324535,0.97,442199,1,3,12.8,25,2,2,5,2,0,2,0
856,1.49,1322,180,181436,5,133714,50000,139299,48,21336,7.05,0.25,4,1000000,5,12917,1,18,2,0.33,398903,0.73,123041,0,1,21.2,60,2,2,5,0,1,3,0
873,0.69,5956,60,128517,0,10205,10000,2045143,12,31796,16.63,0.02,4,0,1,41577,5,22,0,0.19,9964,0.53,393816,1,2,9.6,32,1,0,5,4,1,3,1
327,0.13,7650,30,66770,3,365089,0,1859390,84,28167,8.73,0.95,3,5000000,5,17955,2,7,4,0.54,212992,0.13,242934,0,2,7.3,23,1,0,5,4,0,2,0
855,1.25,6540,60,-10530,0,22442,50000,394417,48,67416,18.39,0.02,1,0,1,56365,4,6,1,0.27,439462,0.43,25240,1,0,15.3,55,2,2,0,4,1,3,0
639,0.91,2441,180,24965,2,363970,0,563622,24,17818,16.45,0.82,1,100000,0,95847,1,3,0,0.59,184868,0.82,179019,0,2,9.1,65,2,1,0,1,0,1,0
630,2.28,1098,0,75332,4,232716,0,1675652,48,39892,38.62,0.17,1,500000,1,84357,3,9,0,0.27,431889,0.28,103261,1,0,13.6,23,1,2,2,2,0,3,0
805,1.06,5073,90,129693,0,408907,0,1272171,36,25488,57.32,0.39,5,5000000,5,23915,5,24,2,0.91,46023,0.58,440562,1,1,20.8,51,0,1,4,2,0,1,0
647,2.85,1505,30,79681,5,48909,50000,735644,60,38952,41.46,0.82,3,5000000,0,61799,2,9,2,0.34,96846,0.98,93893,0,1,11.0,44,2,1,1,1,0,1,0
772,2.89,1126,120,113998,4,291648,50000,1710828,48,84904,55.67,0.21,2,100000,0,98904,4,14,1,0.91,398577,0.17,415773,1,1,11.0,61,1,2,2,3,1,3,0
530,1.86,296,120,64300,2,467486,20000,507212,48,95564,47.26,0.87,0,1000000,1,74706,1,23,4,0.28,428165,0.1,272375,1,0,17.1,49,0,0,3,3,1,1,0
