cibil_score,income,loan_amount,emi,account_age,overdrafts,bounced_payments,late_emi_ratio,income_volatility,avg_balance,transaction_frequency,monthly_spending,good_credit_behavior
516,179210,434583,43850,22,3,1,0.5319883182707819,0.9013868568106571,91502,133,142933,0
487,112601,748730,15009,37,0,2,0.8090345502403417,0.08987828010063803,23152,135,53574,0
679,49956,844760,29843,20,2,1,0.7807327300286697,0.13192982575381085,85738,108,88819,0
792,124797,65534,31793,103,0,2,0.21500476827002857,0.49550917733063826,27445,32,101133,1
340,144917,921712,41516,24,1,2,0.7156355505577624,0.10661927280542349,77688,47,87972,0
456,146303,610608,40871,112,0,2,0.8000544079513714,0.34558087334869747,72153,101,131237,0
314,156511,623458,19857,84,3,0,0.3461072407823951,0.14838537821747766,2195,50,103960,0
364,198313,150546,21627,65,4,2,0.17260911290227454,0.6360403551318858,60949,5,84426,0
820,62533,654489,20565,65,0,1,0.00263215557958818,0.9494954317391617,26433,170,48297,1
643,179342,808761,28025,81,0,2,0.45090365309314817,0.9967337702943815,6305,106,124147,0
428,98815,320784,29832,1,2,2,0.3524327315388416,0.3752411324969148,59860,39,18299,0
771,59279,281324,46116,117,3,2,0.5549098338254089,0.5990126371146123,74613,58,51384,0
362,129787,534273,11782,116,4,0,0.18804109258878576,0.8562676535240813,49648,28,127182,0
438,174960,735409,40650,109,1,1,0.8596655476664752,0.11746207279638399,64090,160,86693,0
798,168702,448834,24366,94,0,0,0.25775521562810966,0.689564411051965,97921,26,42687,1
892,81063,283612,30557,105,4,1,0.22642960508764998,0.40884366172506825,43113,20,70047,0
691,147896,761413,7798,111,1,0,0.48071405648435594,0.20614616028016408,43642,17,64911,0
718,186216,969424,11627,3,3,1,0.49885102374427426,0.402753618747442,34062,104,87303,0
588,117661,356081,43183,46,3,0,0.21508522878509284,0.07596028696491686,72633,104,104165,0
678,158051,775084,14466,55,4,2,0.27186072672591577,0.6954071485893057,42604,66,110330,0
789,177261,193279,44614,75,1,0,0.16970523915524494,0.2527426687484531,7678,175,102480,1
530,193672,246846,14720,88,3,0,0.7184601783231668,0.311405645044878,33121,91,44623,0
340,143257,738332,43913,86,4,2,0.7700890312540819,0.12108129824146274,49503,82,123219,0
327,106205,454015,39292,64,3,2,0.4623284974592826,0.8646591138898917,87940,164,133089,0
434,26910,776448,8559,108,3,1,0.7140870226850174,0.4934442792827386,72279,71,60000,0
500,66857,472132,42388,45,3,1,0.7359353919374455,0.5721468777864003,17494,95,81494,0
332,54964,120463,21158,26,2,1,0.1382755276778086,0.5694326830948546,45185,189,106172,0
347,176299,143500,32916,77,1,0,0.9661780248345367,0.41049311454134174,10678,197,52876,0
802,157050,257772,24057,65,4,1,0.821031947096431,0.19252991543813947,38632,181,128217,0
706,37153,611446,37892,24,4,0,0.2044834611958235,0.7451327484983999,47235,37,100688,0
873,79765,134607,43439,74,1,0,0.18616503574607024,0.12705626535767434,2648,119,114065,1
398,128212,956071,13706,35,1,1,0.12566114557958274,0.1038737902788105,82213,23,76224,0
846,59071,819305,14070,24,1,1,0.13837856254191838,0.7101450375965034,89301,168,35365,1
761,132990,383840,42902,28,1,0,0.7481617990286962,0.20883702045198382,68917,128,39663,0
304,89519,897942,2924,100,0,2,0.46965425695162355,0.30677275135283233,17489,147,114610,0
517,29503,170076,28478,80,4,2,0.7829341727398672,0.47522746700174023,78281,124,113376,0
802,115457,108692,7506,104,0,0,0.7462548943502054,0.4493513167295462,6818,101,93275,1
697,167977,705129,48418,16,3,1,0.6046127135052216,0.7085791250649992,34149,28,133229,0
692,65838,767104,37163,59,3,0,0.6863666065786795,0.623431793443361,28312,31,70883,0
506,145200,852242,26604,81,4,0,0.01835572437914179,0.6443961622818657,38124,181,22713,0
314,109489,972630,17310,115,3,1,0.31177764680502196,0.7140543306554573,2316,79,108097,0
853,46806,211081,10226,54,1,2,0.6378221792594102,0.29261272742346534,71990,27,30734,0
760,196072,161718,13781,79,0,0,0.0093449534862442,0.32233331180047364,61046,165,81622,1
874,173240,403076,7515,16,1,2,0.03297694368259341,0.4379977478955541,79643,45,88267,1
540,90119,574480,38133,15,3,2,0.8518879824703832,0.3074621730335261,70610,60,49435,0
863,58714,297536,18972,98,0,1,0.6840248616920718,0.9849378689708634,87724,161,22976,1
395,75419,86413,34092,11,1,0,0.26536973312034395,0.8140519264214297,98504,163,92910,0
784,125432,193888,13410,65,4,0,0.687962840118709,0.16465468825602958,65042,197,146362,0
706,112949,613370,21522,79,1,2,0.7924566691392633,0.005594155881869511,24102,102,140177,0
530,153533,901480,11095,90,3,2,0.30679428311010126,0.04278326824726786,32957,150,55812,0
470,165363,697418,25047,115,0,1,0.03603737749918745,0.24406345104292526,13872,10,121841,1
840,197876,625228,22470,68,4,2,0.9327791246877345,0.11429128583685655,51094,184,67907,0
335,96971,737490,45129,43,0,1,0.3451798382956305,0.5333381148925721,48719,44,130992,0
824,113471,614430,10531,69,4,0,0.10648176328470638,0.8579952227273586,74885,197,91876,1
459,84946,572780,39038,99,0,1,0.4918568713931474,0.7367502209132274,20693,46,45655,0
542,118989,86468,24403,13,3,2,0.7684677956641338,0.2156090630821904,51478,36,33997,0
385,104080,998202,44674,10,4,0,0.22164731461755915,0.39929925602578586,99163,14,76876,0
877,97794,716015,31122,75,2,1,0.26949005013336336,0.5078942095312776,44677,73,120233,0
856,50841,228969,18940,82,0,0,0.24271498679858317,0.8102058495033355,61012,13,132660,1
873,144447,473291,31831,98,0,1,0.9916730528316782,0.8391216031061648,11760,73,42862,1
327,140029,976863,13279,103,1,2,0.19740373373054254,0.909718311907776,12584,193,62448,0
855,199830,965480,40220,41,4,2,0.575520216966124,0.5092452505028752,3106,143,94612,0
639,96272,545413,8477,106,2,0,0.9252646416569643,0.694274746435863,14669,103,128849,0
630,57643,286187,19400,50,3,0,0.14689656887777924,0.11180037123393716,26223,78,124060,0
805,63950,92056,8470,87,1,0,0.9708541978677002,0.5652889599539821,61666,107,72104,0
647,120500,101831,4062,71,2,1,0.9474772343956246,0.24869180947113512,36706,127,49821,0
772,179116,895623,43798,59,4,2,0.8845719870582626,0.4317168850266111,69019,106,22467,0
530,145588,823952,21880,39,2,0,0.21455652133000225,0.6340505083067194,62585,12,17691,0
489,35997,958380,36581,3,0,0,0.6340550560109833,0.2569859378537811,28482,181,140115,0
524,99751,476488,46439,76,0,0,0.7608914729612402,0.05218505779676108,61369,156,25688,0
684,118605,682405,16308,7,1,1,0.9860279281964297,0.010233856408757513,35143,165,108505,0
676,174983,326815,28027,49,4,0,0.18042382208137042,0.022159535544521547,25240,23,60650,1
582,75533,339192,32720,26,4,0,0.7660258995192964,0.008349737513769662,11015,6,144158,0
558,102566,862395,37081,33,2,1,0.33880116992711296,0.11035505655787547,83164,59,12590,0
658,165643,618242,11706,101,1,1,0.17562646556800232,0.23948871457012988,64023,143,83396,1
755,128255,515525,11837,48,4,0,0.42137694121385494,0.22122151418229918,52500,21,139797,0
710,78005,283192,40599,79,0,0,0.7938359121486164,0.9867965941798967,64925,174,77484,1
617,63541,407574,38824,2,2,1,0.46484980370405216,0.3060061052089432,91979,65,136484,0
524,43387,575005,35073,105,3,2,0.5375231002030485,0.1274207833593991,97355,135,112267,0
533,113980,323820,49115,71,0,1,0.9951594102001212,0.545562544167758,81596,90,48131,0
673,199980,447650,34088,32,1,2,0.399109299557426,0.8579574553975083,93973,39,21924,0
771,105457,230882,30112,4,4,0,0.6154007547092398,0.6780603767876752,50631,107,114191,0
532,164129,168696,28299,20,0,0,0.36524420161537186,0.2960820891354503,77190,70,17734,0
412,84028,967262,36457,114,3,2,0.39278564632870494,0.561616159791455,64652,5,130405,0
796,139246,54994,32063,117,3,1,0.6956407534454081,0.7148559742004091,52087,139,15293,0
741,75731,840666,5917,36,1,0,0.9378869760948835,0.7281044923677423,80789,152,63203,0
863,175930,119300,4936,32,0,2,0.5423589504923214,0.6665384552976888,55909,175,77827,1
567,199761,356093,38630,28,2,1,0.7683999289487798,0.870810424775618,12565,123,51970,0
809,64638,611693,16506,77,0,2,0.08920655881696382,0.8701054583441044,28597,138,40796,1
685,197558,347016,30805,1,3,1,0.21115803743192696,0.5789365594070033,94304,59,109345,0
686,40567,354359,16318,60,1,1,0.5021316409195324,0.4298563691112123,66623,104,126245,0
412,180811,597473,28026,56,1,1,0.02001172362877479,0.6415702955650998,10432,25,93127,0
380,77804,748802,29672,35,2,1,0.2528549787625588,0.8182120013704631,75300,55,46389,0
412,128821,566479,40417,112,1,2,0.5174012898249661,0.005652104841184724,66714,178,13352,0
301,23754,494975,29281,30,1,2,0.014961198256300712,0.9919970090148511,92837,167,132143,0
519,47044,877585,30091,54,1,2,0.2645462862260417,0.18289377232919923,50314,104,103657,0
865,87260,389679,40328,36,1,2,0.5140308194758695,0.4702489856599762,42965,12,117276,0
524,86912,707941,20610,55,1,2,0.5731492479812457,0.8720297348428667,98449,72,98672,0
684,28706,101717,3079,89,3,1,0.9257516930553055,0.22504039904419937,85268,111,21290,0
702,28894,52763,31850,80,0,0,0.6453456232506078,0.4767952239003832,68957,148,35123,1
429,169109,405054,48751,58,4,0,0.41473580252999376,0.13258218018117918,44715,71,62136,0
352,103986,105480,22590,83,1,2,0.9303511771330678,0.3950763253881926,54450,196,127278,0
715,101942,744119,32951,65,4,2,0.7848829833877943,0.17713545479300252,87062,6,12257,0
546,49725,257139,17327,69,4,0,0.2000089211127476,0.363627748771157,62902,5,77733,0
738,156998,168094,14755,51,3,1,0.13084236134881977,0.373464216792722,29317,190,149294,1
502,124555,730667,9235,22,1,2,0.675811635742733,0.9931707895983327,67753,5,135890,0
483,29496,801731,19197,88,4,1,0.5598831655769838,0.9948130293037722,36242,106,136682,0
422,76447,585352,23473,107,1,0,0.7896736137927557,0.11478627866061242,1929,119,117178,0
700,121604,126848,4031,109,2,0,0.7388050500786865,0.7259687793283472,99724,139,67600,0
593,180878,611836,43282,116,2,2,0.625211533857515,0.051745479669101146,14580,92,90952,0
579,108199,218017,43863,101,2,1,0.9863821716288922,0.030192015337188627,96967,96,144257,0
497,61321,842908,16287,53,4,2,0.5335897301104087,0.10533389424496431,21742,22,100888,0
810,173728,494972,40679,100,2,0,0.11310575650171983,0.965485657007934,18833,92,133611,1
443,75147,926533,46463,36,3,1,0.8282735648159884,0.9408635478946974,97421,164,64476,0
500,111396,576670,34230,68,3,2,0.251853362345709,0.19392782028068045,72347,177,106279,0
423,58787,492899,21037,36,4,2,0.7773021481439183,0.16167233555371152,75155,37,102154,0
486,41727,531215,29052,52,1,2,0.9571070960000514,0.24053508651594702,90791,77,132537,0
625,115081,750636,5340,53,0,0,0.6967955139643413,0.5155469940751422,91508,181,97125,0
763,142721,535097,42644,82,1,2,0.5960301609498011,0.5697046320354099,14527,165,84099,0
648,88056,553516,47203,50,1,1,0.4603861756750406,0.22159343043944735,59139,32,138969,0
702,154153,470162,3141,80,1,2,0.36440986599540326,0.7566227880899452,99410,91,105833,0
645,185268,653986,27425,41,1,0,0.35300475097183626,0.30955316940265076,70585,57,59240,0
810,187807,820050,21281,18,0,2,0.6363727057095906,0.9221313255294104,42057,48,24772,1
446,100102,817669,44049,22,2,0,0.7512731169377459,0.6567227064567306,68439,84,120990,0
447,176570,989839,22425,66,1,0,0.6785170694844144,0.4363511943036117,45261,187,122315,0
788,96865,95095,36806,21,3,1,0.19841010119356273,0.7899120017028454,71912,142,108053,1
850,182728,523146,34113,100,4,1,0.4939871801434912,0.8179146260466648,1042,18,97091,0
637,87695,442118,6270,44,4,2,0.791640072183063,0.29048160560894365,23769,107,100341,0
772,188972,863629,44814,103,3,0,0.47570407818905625,0.33971454383608435,68113,40,70896,0
450,137235,964051,6683,47,1,0,0.5366232797354938,0.9359551537286034,78918,38,42822,0
714,198773,596298,41884,39,0,1,0.7711360481708222,0.16474103836327192,23449,92,112335,1
597,128777,467339,31809,29,2,1,0.6612653062650915,0.0421504169629342,39653,150,127828,0
562,39033,400067,36552,54,4,2,0.4093449208823926,0.4540553226095492,29859,20,132766,0
443,161877,708250,5786,90,2,0,0.895412711194219,0.8012099002436289,9576,169,142624,0
645,186923,442670,23650,85,0,1,0.1625670686634786,0.7716681063107458,46874,45,83331,1
871,46832,159162,30706,17,4,2,0.9955164485903247,0.9195306289128325,78199,29,146343,0
301,135725,433071,11190,80,2,0,0.1188525784762372,0.5332006643690402,37345,130,90201,0
603,165016,320170,40196,60,0,0,0.014949971104238902,0.10006467156653331,71780,12,75651,1
553,39873,377069,41449,31,2,1,0.8900189011487647,0.5886889743360161,70428,116,111917,0
752,60372,643130,41661,115,1,2,0.24495350836595609,0.7783956143532116,93648,98,37186,0
336,109464,345809,31709,73,0,1,0.7296996274467209,0.0933281202698264,5321,88,40267,0
459,166451,321421,47429,95,2,2,0.8110153749320693,0.17265740109758976,6776,150,49140,0
308,137322,223311,16892,78,1,0,0.8589863910321168,0.012290661155670901,17119,72,41748,0
532,187823,490880,11643,49,1,2,0.9915942356641667,0.5936525794468104,31569,180,100139,0
398,120082,884440,11943,101,0,2,0.29403971003999907,0.8867343919459044,39596,71,144909,0
507,25110,851115,45240,2,3,2,0.7102433419272591,0.6706633160020995,53967,150,74875,0
430,32087,706030,47760,116,4,2,0.11539985828082822,0.982040087590982,34063,115,38615,0
703,174834,270283,23042,48,0,2,0.4068092913568494,0.06303365249976156,99717,22,114135,1
451,102617,723249,45894,110,1,1,0.8479716933125904,0.9030010851514962,23340,60,44062,0
353,120483,498828,8869,14,1,2,0.36765804605910835,0.8140682873866807,76723,155,65122,0
419,29596,749895,42437,59,0,2,0.5910953805356141,0.31424152049950493,56430,39,83086,0
886,127539,390686,46306,97,3,0,0.5037734437246341,0.9735265518372518,7668,138,38205,0
719,38313,366463,44833,99,4,2,0.6459515311120451,0.28793774817141504,81880,122,28459,0
721,133175,295144,22918,58,2,0,0.9728943893876949,0.8893047238282185,9195,30,37729,0
403,134914,928499,30379,103,0,1,0.05573552650140212,0.8807485770741894,83097,65,48585,1
553,43705,726999,44939,58,4,1,0.5739615175016297,0.7576576166029725,58995,92,93698,0
526,93445,245784,27274,111,4,2,0.8630287792502848,0.5634704738128519,88834,19,55635,0
411,123892,984137,19696,51,1,1,0.4813827117484275,0.12000274961688806,39250,95,39104,0
809,22023,826505,4962,84,2,2,0.07852718594157282,0.5319717344964983,17076,36,24770,1
772,139654,381119,15851,2,0,1,0.5605393524167709,0.35679625565493456,16376,144,138750,1
398,100073,213244,47747,115,1,2,0.33207389082382044,0.7922170331553517,56839,137,132245,0
452,112197,502413,7296,41,1,2,0.1549417853379359,0.7581292064968449,65723,68,134011,0
637,84429,151158,16745,83,3,0,0.849034513283473,0.9106125073726052,44442,90,65178,0
462,124195,848009,7730,101,4,0,0.5215995129911216,0.014830162431707872,6392,159,105155,0
460,53848,913731,15921,82,0,0,0.9332764123790667,0.8091032168230461,28106,49,30828,0
879,188876,856608,34894,16,0,0,0.8060165046030691,0.9384620531246688,80845,39,27171,1
697,166451,113972,7602,4,0,2,0.6929717937736674,0.7893004491081501,25809,30,133249,1
576,47766,956450,19575,12,1,1,0.005025503365311934,0.1301944598703667,1693,27,24202,0
803,88099,533007,21023,29,3,2,0.42782345663824994,0.08127910484088774,95769,145,97367,0
691,187132,484219,47349,7,2,0,0.1974862816520323,0.02084523980770081,60821,135,69046,1
434,89122,332140,17997,14,1,0,0.9107979110488678,0.628745225828071,75159,33,19849,0
494,167159,675210,19750,119,2,1,0.17458398467636027,0.6296726518598873,75710,198,88872,0
700,68868,923030,43979,12,3,0,0.2860600516592855,0.9869137142182123,12352,68,45344,0
332,139119,610219,24837,99,4,2,0.5168367677344992,0.39804317410409573,53196,160,146123,0
759,174297,698456,16997,5,0,2,0.26336361899807925,0.33190628489749674,72066,168,85604,1
769,115286,216782,41439,81,2,2,0.20986467727912117,0.6244249271843925,5992,117,106550,0
674,26643,173099,25067,106,1,2,0.5990993251027524,0.825608672507594,54076,138,84383,0
321,56727,608981,47039,32,2,2,0.08892952275502386,0.9367739495230019,24354,143,51182,0
337,162077,158944,22923,74,4,1,0.05816775872092472,0.8031241661790386,4312,170,126810,0
529,129079,798943,10876,43,0,2,0.3722452951860714,0.42667398061580475,46833,122,34180,0
664,85697,781862,4887,81,2,0,0.7206644545078623,0.6349142353120641,5318,166,61372,0
862,36029,853806,44422,69,4,0,0.554806758273948,0.856299326716117,67003,71,113427,0
737,165298,297572,38854,45,1,0,0.42287646846677884,0.49060968831173946,28192,112,79086,0
582,179803,393615,38948,106,3,0,0.5657515642245824,0.2166866437053927,90199,178,32163,0
326,129458,620201,4841,9,1,1,0.3654514846532736,0.16972343974787296,97782,90,129616,0
525,130384,960115,30756,49,0,0,0.9361463354321129,0.0001577445780567288,38489,33,42934,0
576,88926,247097,8040,33,1,1,0.05490489091077433,0.7182379949812843,41309,64,65595,0
583,157069,880948,12304,100,1,0,0.6733914790298352,0.1110972088459905,29273,58,36592,0
780,75506,662084,32341,100,1,1,0.8912826648277505,0.24383909969594042,48553,97,33039,0
752,98229,338213,6758,18,1,1,0.8038847087352534,0.29787633152279336,30473,73,118305,0
815,62092,954765,19010,9,0,1,0.18404103482144674,0.5603798601367683,62410,121,99262,1
846,82539,134811,33658,62,4,0,0.29592634898028836,0.39795727729576924,14679,13,138383,0
491,172889,240121,39782,57,2,1,0.7170479387071047,0.6746739920231618,93981,130,44018,0
348,188933,807180,3375,29,3,2,0.08427055918076554,0.05563865932870271,46310,81,63158,0
811,33428,430172,35949,114,2,2,0.811861699832584,0.12393919426443945,84406,14,145630,0
316,195006,613466,24092,78,2,0,0.7189069446047903,0.4992115035332667,61683,106,42174,0
471,161330,869253,2490,25,3,2,0.7296066492353426,0.3369647878468298,26992,62,105941,0
519,77775,504151,5729,15,0,2,0.10024137026759139,0.2958133627513597,30433,117,113381,1
457,25469,591287,7974,6,3,2,0.7177605448162309,0.06702807903752273,77574,184,117532,0
776,48854,505738,21680,42,0,0,0.67981812521997,0.8957191747480014,26933,166,143686,1
345,157328,350856,20324,29,2,0,0.8309224908218505,0.6918185861250508,46020,110,44647,0
672,96256,245623,33334,79,0,2,0.0415959562564695,0.12161815681964938,30236,39,67940,1
817,185009,745532,23398,93,4,0,0.023110668467792195,0.06504595773714061,59735,107,141692,1
398,119134,345866,36650,4,3,1,0.37300709987856073,0.974872533431243,10770,107,116566,0
336,152723,847057,23292,82,4,2,0.14878828384915288,0.6811725504395049,70285,165,72395,0
579,104730,248237,37755,114,2,0,0.5583844775702219,0.4174560710937415,36271,164,60955,0
648,176123,581147,40353,57,3,0,0.9173489015067489,0.7017310407557849,74391,187,42314,0
796,47386,685274,5159,49,2,2,0.39147973033401573,0.7563317864801591,24439,101,63685,0
601,167256,806942,34626,44,4,0,0.8449503772726041,0.7799622023887793,96826,140,133947,0
480,53787,333983,31351,103,2,2,0.00024087451786647396,0.47787730565305764,12101,178,74783,0
398,41621,339360,39298,80,3,0,0.1685146434591842,0.429882758124848,93776,146,110229,0
415,97984,889385,19065,75,3,1,0.03042353965408562,0.01102808426890034,83319,140,60189,0
490,196325,527697,23638,14,2,2,0.32814718051506864,0.926557115141838,45917,110,103554,0
552,54051,503809,3073,3,3,1,0.9081895956965028,0.6033078783889431,93345,75,29567,0
460,69811,99522,48511,115,3,2,0.09695212359898775,0.2031539371899681,84459,81,86089,0
555,50447,280233,20771,114,2,0,0.6064097767438004,0.9196034194214366,81562,58,51444,0
622,148046,448102,37461,62,4,1,0.4514959391194442,0.9149319017702964,42196,25,96184,0
427,181326,423393,44330,106,3,0,0.9384682123658125,0.9891841643660959,24569,115,34821,0
317,104045,57485,31320,64,3,2,0.12251914253709384,0.8740565631389788,42887,79,24601,0
865,136859,474671,6340,102,3,2,0.21202785050222894,0.9977843878200647,21893,18,122882,0
869,165544,817344,36924,45,3,2,0.029541968611493274,0.24468618812327259,88971,6,81657,1
622,23471,984271,18184,106,2,2,0.43393524963137375,0.8422495851992341,56304,193,91846,0
587,140312,162701,42734,82,4,2,0.2778328995646543,0.8230283087957645,33399,112,60502,0
454,159401,995957,4580,58,4,1,0.8699059338903209,0.23094035922073375,26236,149,133409,0
789,185937,257352,42025,20,0,2,0.6049408131977551,0.09843754900099078,93735,82,32098,1
685,66850,676926,30967,58,3,0,0.6140907379757017,0.9794205136775996,86870,52,128502,0
403,74220,234514,4159,112,3,1,0.5319106968813024,0.29602455152061036,99753,95,85516,0
692,113808,495093,15900,89,0,0,0.091850337229201,0.8708917904678061,50531,140,54280,1
545,157469,848658,13440,57,4,2,0.44501868372535525,0.0041271546746038945,81570,188,18951,0
475,186597,667693,16678,102,1,0,0.9995051897085165,0.021024807219602204,97621,21,18117,0
338,73072,859020,49204,77,1,1,0.8352292908460148,0.4658713086963684,10442,16,35979,0
776,103820,260048,14021,68,4,1,0.8934590541671159,0.23871468393506357,57437,170,26915,0
